# Program:featureCounts v2.0.1; Command:"/home/kabil/.anaconda3/envs/binf/bin/featureCounts" "-p" "-a" "/mnt/h/data/refseq/NC_001133.9_genomic.gtf.gz" "-o" "feature_counts.txt" "/mnt/h/data/samfiles/SRR1302790.sam" "/mnt/h/data/samfiles/SRR1302792.sam" "-O" "-T" "12" "--tmpDir" "/mnt/h/tmp/" "-t" "exon" "-g" "gene_id" 
Geneid	Chr	Start	End	Strand	Length	/mnt/h/data/samfiles/SRR1302790.sam	/mnt/h/data/samfiles/SRR1302792.sam
YNCJ0011W	NC_001142.9	355374	355445	+	72	298	442
YNCJ0012W	NC_001142.9	355456	355527	+	72	2192	5808
YJL045W	NC_001142.9	356024	357928	+	1905	13	208
YJL044C	NC_001142.9	358300	359676	-	1377	938	3282
YJL043W	NC_001142.9	360130	360903	+	774	13	81
YJL042W	NC_001142.9	361249	365445	+	4197	482	4068
YJL041W	NC_001142.9;NC_001142.9	365784;365903	365784;368373	+;+	2472	829	3382
YJL039C	NC_001142.9	368748	373799	-	5052	3056	11784
YNCJ0013C	NC_001142.9	374424	374495	-	72	2286	5781
YNCJ0014C	NC_001142.9	374506	374577	-	72	333	474
YJL038C	NC_001142.9	375115	375774	-	660	7	169
YJL037W	NC_001142.9	376662	377336	+	675	2	131
YNCJ0015W	NC_001142.9	378360	378433	+	74	624	333
YJL036W	NC_001142.9	378825	380096	+	1272	524	1485
YJL035C	NC_001142.9	380249	381001	-	753	414	1263
YJL034W	NC_001142.9	381327	383375	+	2049	8932	22280
YJL033W	NC_001142.9	383837	386149	+	2313	1637	8402
YJL031C	NC_001142.9;NC_001142.9	386368;387436	387348;387438	-;-	984	651	2104
YJL030W	NC_001142.9	387657	388247	+	591	337	1412
YJL029C	NC_001142.9	388385	390853	-	2469	731	2944
YNCJ0016C	NC_001142.9	391043	391115	-	73	36	115
YJL028W	NC_001142.9	391311	391646	+	336	0	6
YJL027C	NC_001142.9	391833	392249	-	417	9	129
YJL026W	NC_001142.9	392404	393603	+	1200	3065	15254
YJL025W	NC_001142.9	393967	395511	+	1545	128	1044
YJL024C	NC_001142.9;NC_001142.9	395931;396571	396493;396592	-;-	585	166	1720
YNCJ0017C	NC_001142.9	396726	396796	-	71	531	731
YJL023C	NC_001142.9	397355	398398	-	1044	66	577
YJL020C	NC_001142.9	398937	402410	-	3474	464	1891
YJL019W	NC_001142.9	402897	404945	+	2049	237	1499
YJL016W	NC_001142.9	405588	407273	+	1686	456	6931
YJL014W	NC_001142.9	407558	409162	+	1605	4596	13767
YJL013C	NC_001142.9	409493	411040	-	1548	183	1097
YJL012C	NC_001142.9	411234	413399	-	2166	8306	5783
YJL011C	NC_001142.9	414285	414770	-	486	987	2119
YNCJ0018W	NC_001142.9	414966	415038	+	73	675	1272
YNCJ0019C	NC_001142.9;NC_001142.9	415931;416001	415966;416036	-;-	72	2351	2983
YJL010C	NC_001142.9	417562	419562	-	2001	1119	5726
YJL008C	NC_001142.9	419957	421663	-	1707	7736	16614
YJL007C	NC_001142.9	422698	423012	-	315	112	364
YNCJ0020W	NC_001142.9	422937	423009	+	73	105	331
YJL006C	NC_001142.9	423138	424109	-	972	180	759
YNCJ0021C	NC_001142.9	424432	424515	-	84	241	368
YJL005W	NC_001142.9	425157	431237	+	6081	1639	7294
YJL004C	NC_001142.9	431589	432200	-	612	547	1646
YJL003W	NC_001142.9	432644	433000	+	357	71	206
YJL002C	NC_001142.9	433221	434651	-	1431	3344	8139
YJL001W	NC_001142.9;NC_001142.9	435163;435344	435227;435926	+;+	648	1998	9056
YJR001W	NC_001142.9	436802	438610	+	1809	3300	10304
YJR002W	NC_001142.9	438865	440646	+	1782	3283	15156
YJR003C	NC_001142.9	440994	442553	-	1560	802	3315
YJR004C	NC_001142.9	442909	444861	-	1953	103	959
YJR005W	NC_001142.9	445923	448025	+	2103	878	3213
YJR005C-A	NC_001142.9	448477	448758	-	282	12	13
YJR006W	NC_001142.9	449202	450665	+	1464	575	3651
YJR007W	NC_001142.9	451020	451934	+	915	689	3987
YJR008W	NC_001142.9	452430	453446	+	1017	169	1247
YJR009C	NC_001142.9	453683	454681	-	999	41791	98448
YJR010W	NC_001142.9	456239	457774	+	1536	361	2610
YJR010C-A	NC_001142.9	458077	458361	-	285	400	2309
YJR011C	NC_001142.9	458641	459426	-	786	296	559
YJR012C	NC_001142.9	459795	460193	-	399	161	347
YJR013W	NC_001142.9	460382	461593	+	1212	465	1775
YJR014W	NC_001142.9	461829	462425	+	597	457	2995
YJR015W	NC_001142.9	462721	464253	+	1533	3600	4406
YJR016C	NC_001142.9	464451	466208	-	1758	28705	66049
YJR017C	NC_001142.9	466521	467033	-	513	479	2949
YJR019C	NC_001142.9	467232	468281	-	1050	199	929
YJR021C	NC_001142.9;NC_001142.9	468555;469264	469183;469579	-;-	945	113	757
YJR022W	NC_001142.9	469784	470113	+	330	46	373
YJR024C	NC_001142.9	470230	470964	-	735	2048	3944
YJR025C	NC_001142.9	471138	471671	-	534	398	1194
YJR027W	NC_001142.9	472760	478028	+	5269	15671	14744
YJR026W	NC_001142.9	472760	474082	+	1323	2832	4992
YJR029W	NC_001142.9	478344	483612	+	5269	24985	17202
YJR028W	NC_001142.9	478344	479666	+	1323	2977	5273
YJR030C	NC_001142.9	483959	486196	-	2238	270	846
YJR031C	NC_001142.9	486586	490812	-	4227	1662	4353
YJR032W	NC_001142.9	491081	492262	+	1182	291	1036
YJR033C	NC_001142.9	492378	496451	-	4074	530	3075
YJR034W	NC_001142.9	496683	497009	+	327	174	531
YJR035W	NC_001142.9	497355	500612	+	3258	373	1569
YJR036C	NC_001142.9	500713	503391	-	2679	144	476
YJR039W	NC_001142.9	503936	507301	+	3366	329	1223
YJR040W	NC_001142.9	507746	510085	+	2340	1036	2800
YJR041C	NC_001142.9	510239	513763	-	3525	684	2937
YJR042W	NC_001142.9	514055	516289	+	2235	2565	6574
YJR043C	NC_001142.9	516461	517513	-	1053	158	1081
YNCJ0022C	NC_001142.9	517813	517884	-	72	354	451
YJR044C	NC_001142.9	518763	519185	-	423	115	635
YJR045C	NC_001142.9	519638	521602	-	1965	6827	18834
YJR046W	NC_001142.9	522048	523862	+	1815	1842	6508
YNCJ0023C	NC_001142.9	524012	524093	-	82	2215	6596
YJR047C	NC_001142.9	524908	525381	-	474	870	654
YJR048W	NC_001142.9	526335	526664	+	330	234	2952
YJR049C	NC_001142.9	526884	528476	-	1593	1816	5731
YJR050W	NC_001142.9	528697	529404	+	708	240	1612
YJR051W	NC_001142.9	529861	531366	+	1506	1700	2839
YNCJ0024W	NC_001142.9	531828	531898	+	71	572	767
YJR052W	NC_001142.9	532062	533759	+	1698	271	1347
YJR053W	NC_001142.9	534027	535751	+	1725	208	972
YJR054W	NC_001142.9	536056	537549	+	1494	656	1958
YNCJ0025W	NC_001142.9	538555	538626	+	72	2737	4339
YJR055W	NC_001142.9	538772	539266	+	495	107	676
YNCJ0026W	NC_001142.9	541508	541579	+	72	2321	5601
YJR056C	NC_001142.9	541792	542502	-	711	179	1233
YNCJ0027C	NC_001142.9;NC_001142.9	542956;543006	542991;543044	-;-	75	534	348
YJR057W	NC_001142.9	544062	544712	+	651	343	932
YJR058C	NC_001142.9	544732	545175	-	444	825	1830
YJR059W	NC_001142.9	545787	548243	+	2457	438	1446
YJR060W	NC_001142.9	548759	549814	+	1056	1652	4321
YJR061W	NC_001142.9	550511	553318	+	2808	275	1953
YJR062C	NC_001142.9	553476	554849	-	1374	268	1710
YJR063W	NC_001142.9	555195	555572	+	378	155	1063
YJR064W	NC_001142.9	555914	557602	+	1689	15605	23336
YJR065C	NC_001142.9	557809	559158	-	1350	1119	4443
YJR066W	NC_001142.9	559416	566828	+	7413	1393	5725
YJR067C	NC_001142.9	567019	567444	-	426	228	668
YJR068W	NC_001142.9	567643	568704	+	1062	1459	5016
YJR069C	NC_001142.9	568806	569399	-	594	426	1584
YJR070C	NC_001142.9	569621	570598	-	978	1314	5232
YJR072C	NC_001142.9	570967	572124	-	1158	3122	13997
YJR073C	NC_001142.9	572315	572935	-	621	668	3145
YJR074W	NC_001142.9	573095	573751	+	657	765	1838
YJR075W	NC_001142.9	573981	575171	+	1191	2705	8293
YJR076C	NC_001142.9	575354	576601	-	1248	823	4352
YJR077C	NC_001142.9	577255	578190	-	936	681	10264
YJR078W	NC_001142.9	578860	580221	+	1362	37	255
YJR079W	NC_001142.9;NC_001142.9	580205;581053	580347;581239	+;+	330	113	430
YJR080C	NC_001142.9	580432	581616	-	1185	384	1980
YJR082C	NC_001142.9	581914	582255	-	342	59	445
YJR083C	NC_001142.9	582608	583537	-	930	57	449
YJR084W	NC_001142.9	583733	585004	+	1272	529	3138
YJR085C	NC_001142.9	585120	585437	-	318	2178	6098
YJR086W	NC_001142.9	586068	586400	+	333	453	1360
YJR088C	NC_001142.9	586495	587373	-	879	1527	3493
YJR089W	NC_001142.9	587718	590582	+	2865	515	2742
YJR090C	NC_001142.9	590872	594327	-	3456	738	3038
YJR091C	NC_001142.9	595061	598336	-	3276	417	3392
YJR092W	NC_001142.9	598735	603078	+	4344	648	4060
YJR093C	NC_001142.9	603220	604203	-	984	82	745
YJR094C	NC_001142.9	604569	605651	-	1083	14	115
YNCJ0028C	NC_001142.9	605936	607424	-	1489	148	2456
YJR094W-A	NC_001142.9;NC_001142.9	608305;608582	608306;608858	+;+	279	19536	62056
YJR095W	NC_001142.9	609773	610741	+	969	7	201
YJR096W	NC_001142.9	611195	612043	+	849	249	3733
YJR097W	NC_001142.9	612413	612931	+	519	45	369
YJR098C	NC_001142.9	613186	615156	-	1971	191	1019
YJR099W	NC_001142.9	615576	616286	+	711	251	1159
YJR100C	NC_001142.9	616351	617334	-	984	659	1706
YNCJ0029W	NC_001142.9;NC_001142.9	617919;617976	617956;618019	+;+	82	175	158
YJR101W	NC_001142.9	618234	619034	+	801	521	1680
YJR102C	NC_001142.9	619157	619765	-	609	113	664
YJR103W	NC_001142.9	620754	622490	+	1737	2243	8158
YJR104C	NC_001142.9	622550	623014	-	465	10268	45382
YJR105W	NC_001142.9	623581	624603	+	1023	9897	20490
YJR106W	NC_001142.9	624838	627015	+	2178	161	1222
YJR107W	NC_001142.9	627340	628326	+	987	217	1077
YJR107C-A	NC_001142.9	628457	628693	-	237	114	355
YJR108W	NC_001142.9	628712	629083	+	372	39	123
YJR109C	NC_001142.9	629585	632941	-	3357	3147	7038
YJR110W	NC_001142.9	633615	635681	+	2067	345	794
YJR111C	NC_001142.9	635855	636706	-	852	209	978
YJR112W	NC_001142.9	637030	637635	+	606	316	1140
YJR112W-A	NC_001142.9;NC_001142.9	637790;637859	637809;638168	+;+	330	275	1588
YJR113C	NC_001142.9	638232	638975	-	744	1379	3403
YJR115W	NC_001142.9	639942	640451	+	510	15	109
YJR116W	NC_001142.9	640825	641664	+	840	55	613
YJR117W	NC_001142.9	642007	643368	+	1362	329	1229
YJR118C	NC_001142.9	643490	644101	-	612	443	1174
YJR119C	NC_001142.9	644304	646490	-	2187	159	1268
YJR120W	NC_001142.9	647126	647476	+	351	30	1012
YJR121W	NC_001142.9	647607	649142	+	1536	2208	35473
YJR122W	NC_001142.9	649776	651269	+	1494	269	757
YJR123W	NC_001142.9	651901	652578	+	678	21820	61131
YJR124C	NC_001142.9	652892	654238	-	1347	1600	4503
YJR125C	NC_001142.9	654737	655963	-	1227	1331	2959
YJR126C	NC_001142.9	656254	658689	-	2436	2190	5207
YJR127C	NC_001142.9	658917	663059	-	4143	244	10887
YJR128W	NC_001142.9	662921	663280	+	360	12	199
YNCJ0030W	NC_001142.9	663749	663942	+	194	32521	81886
YJR129C	NC_001142.9	664000	665019	-	1020	192	968
YJR130C	NC_001142.9	665218	667137	-	1920	827	3017
YJR131W	NC_001142.9	667644	669293	+	1650	1217	1846
YJR132W	NC_001142.9	669522	672668	+	3147	2110	10172
YJR133W	NC_001142.9	672991	673620	+	630	762	1434
YJR134C	NC_001142.9	673729	675852	-	2124	456	2192
YJR135C	NC_001142.9	676059	676778	-	720	192	726
YJR135W-A	NC_001142.9	676971	677234	+	264	242	705
YJR136C	NC_001142.9	677441	678706	-	1266	390	1155
YJR137C	NC_001142.9	678957	683285	-	4329	1360	3793
YJR138W	NC_001142.9	684567	689321	+	4755	900	3263
YJR139C	NC_001142.9	689445	690524	-	1080	12663	22322
YJR140C	NC_001142.9	690750	695696	-	4947	1464	4474
YJR141W	NC_001142.9	695906	696949	+	1044	634	1387
YJR142W	NC_001142.9	697141	698169	+	1029	595	2078
YJR143C	NC_001142.9	698326	700614	-	2289	6607	16375
YJR144W	NC_001142.9	700882	701691	+	810	1560	6420
YJR145C	NC_001142.9;NC_001142.9	702027;703055	702798;703068	-;-	786	50687	139421
YJR146W	NC_001142.9	703885	704238	+	354	296	2501
YJR147W	NC_001142.9	704196	705272	+	1077	738	4574
YJR148W	NC_001142.9	705744	706874	+	1131	7795	9728
YJR149W	NC_001142.9	707160	708374	+	1215	282	970
YJR150C	NC_001142.9	708811	709707	-	897	18	94
YJR151C	NC_001142.9	712255	715740	-	3486	30	564
YJR151W-A	NC_001142.9	717580	717630	+	51	1	17
YJR152W	NC_001142.9	719666	721297	+	1632	226	1459
YJR153W	NC_001142.9	722815	723900	+	1086	118	488
YJR154W	NC_001142.9	725784	726824	+	1041	104	1065
YJR155W	NC_001142.9	727405	728271	+	867	109	1410
YJR156C	NC_001142.9	728574	729596	-	1023	17	246
YJR158W	NC_001142.9	732440	734143	+	1704	4	522
YJR159W	NC_001142.9	736044	737117	+	1074	105	644
YJR160C	NC_001142.9	738008	739816	-	1809	40	610
YJR161C	NC_001142.9	742848	743999	-	1152	143	1265
YKL224C	NC_001143.9	1810	2181	-	372	1	7
YKL222C	NC_001143.9	3503	5620	-	2118	195	1461
YKL221W	NC_001143.9	6107	7528	+	1422	14	173
YKL220C	NC_001143.9	9091	11226	-	2136	332	725
YKL219W	NC_001143.9	14485	15708	+	1224	414	1598
YKL218C	NC_001143.9	17359	18339	-	981	349	1390
YKL217W	NC_001143.9	22234	24084	+	1851	89	1172
YKL216W	NC_001143.9	25215	26159	+	945	9635	7997
YKL215C	NC_001143.9	26827	30687	-	3861	1024	2866
YKL214C	NC_001143.9	31082	31693	-	612	345	1834
YKL213C	NC_001143.9	31960	34107	-	2148	1904	5379
YKL212W	NC_001143.9	34543	36414	+	1872	4977	12150
YKL211C	NC_001143.9	36699	38153	-	1455	2874	6713
YNCK0001W	NC_001143.9	38811	38911	+	101	21985	45364
YKL210W	NC_001143.9	39163	42237	+	3075	9625	21191
YKL209C	NC_001143.9	42423	46295	-	3873	6167	24070
YNCK0002C	NC_001143.9	46735	46806	-	72	561	740
YKL208W	NC_001143.9	47157	47972	+	816	475	2044
YKL207W	NC_001143.9	48194	48955	+	762	2586	7322
YKL206C	NC_001143.9	49006	49809	-	804	709	2652
YKL205W	NC_001143.9	50051	53353	+	3303	1922	6536
YKL204W	NC_001143.9	53704	55602	+	1899	77	920
YKL203C	NC_001143.9	55935	63359	-	7425	1397	7149
YKL201C	NC_001143.9	63930	67466	-	3537	395	2643
YKL198C	NC_001143.9	68232	70220	-	1989	213	1532
YKL197C	NC_001143.9	70734	73865	-	3132	670	2768
YNCK0003W	NC_001143.9	74624	74697	+	74	401	492
YKL196C	NC_001143.9	74932	75534	-	603	2468	4740
YKL195W	NC_001143.9	75821	77032	+	1212	1629	4393
YKL194C	NC_001143.9	77258	78646	-	1389	208	571
YKL193C	NC_001143.9	78866	79882	-	1017	176	853
YKL192C	NC_001143.9	80160	80537	-	378	216	1802
YKL191W	NC_001143.9	81035	82639	+	1605	2316	8217
YKL190W	NC_001143.9;NC_001143.9	82947;83075	82998;83550	+;+	528	1368	3515
YNCK0004W	NC_001143.9	84208	84291	+	84	154	245
YKL189W	NC_001143.9	84704	85903	+	1200	116	720
YKL188C	NC_001143.9	86225	88786	-	2562	176	1111
YKL187C	NC_001143.9	89284	91536	-	2253	97	1006
YKL186C	NC_001143.9	92744	93298	-	555	649	4436
YKL185W	NC_001143.9	94499	96265	+	1767	318	2184
YKL184W	NC_001143.9	96757	98157	+	1401	1339	6299
YKL183C-A	NC_001143.9	98395	98607	-	213	52	145
YKL183W	NC_001143.9	98721	99641	+	921	860	2201
YKL182W	NC_001143.9	100671	106826	+	6156	15857	81011
YKL181W	NC_001143.9	107316	108599	+	1284	1220	4572
YKL180W	NC_001143.9;NC_001143.9	109269;109884	109577;110129	+;+	555	4613	15791
YKL179C	NC_001143.9	110464	112503	-	2040	1102	3119
YKL178C	NC_001143.9	113215	114627	-	1413	9	75
YKL176C	NC_001143.9	115500	117986	-	2487	2853	13624
YKL175W	NC_001143.9	118793	120304	+	1512	657	4053
YKL174C	NC_001143.9	120380	122236	-	1857	676	3575
YKL173W	NC_001143.9	122517	125543	+	3027	1040	6101
YKL172W	NC_001143.9	125759	127042	+	1284	1638	7454
YKL171W	NC_001143.9	127475	130261	+	2787	415	1686
YKL170W	NC_001143.9	130634	131050	+	417	390	1079
YKL168C	NC_001143.9	131288	133462	-	2175	318	1609
YKL167C	NC_001143.9	133721	134134	-	414	30	108
YKL166C	NC_001143.9	134509	135705	-	1197	962	3297
YKL165C	NC_001143.9	137932	140691	-	2760	1157	3168
YNCK0005C	NC_001143.9	141018	141089	-	72	16804	41847
YKL164C	NC_001143.9	141794	142819	-	1026	880	3857
YKL163W	NC_001143.9	144401	145378	+	978	46	2655
YKL162C	NC_001143.9	147630	148838	-	1209	10	132
YKL161C	NC_001143.9	149386	150687	-	1302	90	1657
YKL160W	NC_001143.9	153269	153706	+	438	851	3238
YKL159C	NC_001143.9	153816	154451	-	636	121	1199
YKL157W	NC_001143.9;NC_001143.9	154991;155655	155271;158232	+;+	2859	6077	10445
YKL156W	NC_001143.9;NC_001143.9	158613;158967	158615;159212	+;+	249	1030	10510
YKL155C	NC_001143.9	159456	161342	-	1887	529	1717
YKL154W	NC_001143.9	161601	162335	+	735	1169	2412
YNCK0006C	NC_001143.9	162487	162558	-	72	95	91
YKL152C	NC_001143.9	163642	164385	-	744	83626	186225
YKL151C	NC_001143.9	164917	165930	-	1014	503	3650
YKL150W	NC_001143.9	166544	167452	+	909	309	5378
YKL149C	NC_001143.9	167612	168829	-	1218	421	1857
YKL148C	NC_001143.9	169207	171129	-	1923	161	2299
YKL146W	NC_001143.9	171783	173861	+	2079	1047	3481
YKL145W	NC_001143.9	174213	175616	+	1404	5846	21186
YKL144C	NC_001143.9	175843	176481	-	639	346	2008
YKL143W	NC_001143.9	176781	178172	+	1392	1246	5822
YKL142W	NC_001143.9	178515	179174	+	660	864	5801
YKL141W	NC_001143.9	179667	180263	+	597	163	1203
YKL140W	NC_001143.9	180779	182425	+	1647	929	2435
YKL139W	NC_001143.9	182958	184544	+	1587	570	2202
YKL138C-A	NC_001143.9	184803	185012	-	210	267	1098
YKL138C	NC_001143.9	185286	185681	-	396	100	409
YKL137W	NC_001143.9	185957	186292	+	336	697	1311
YKL135C	NC_001143.9	186460	188640	-	2181	548	3534
YKL134C	NC_001143.9	189124	191442	-	2319	457	1033
YKL133C	NC_001143.9	191679	193070	-	1392	117	492
YKL132C	NC_001143.9	193574	194866	-	1293	289	2879
YKL130C	NC_001143.9	195288	196028	-	741	287	1478
YKL129C	NC_001143.9	196349	200167	-	3819	825	4288
YKL128C	NC_001143.9	200884	201771	-	888	2583	7061
YNCK0007W	NC_001143.9	202999	203071	+	73	572	1196
YKL127W	NC_001143.9	203541	205253	+	1713	4020	4548
YKL126W	NC_001143.9	205707	207749	+	2043	3436	6890
YKL125W	NC_001143.9	208247	210130	+	1884	955	3926
YKL124W	NC_001143.9	210593	212332	+	1740	130	837
YKL122C	NC_001143.9	212495	212998	-	504	135	865
YKL121W	NC_001143.9	214142	216700	+	2559	176	2048
YKL120W	NC_001143.9	217344	218318	+	975	3434	9442
YKL119C	NC_001143.9	218570	219217	-	648	687	2052
YNCK0008W	NC_001143.9	219895	219967	+	73	145	180
YKL117W	NC_001143.9	220324	220974	+	651	4773	12909
YKL116C	NC_001143.9	221344	222900	-	1557	300	1251
YKL114C	NC_001143.9	223352	224455	-	1104	411	1660
YKL113C	NC_001143.9	224727	225875	-	1149	1616	3620
YKL112W	NC_001143.9	226570	228765	+	2196	1736	10812
YKL110C	NC_001143.9	228939	229880	-	942	430	2112
YKL109W	NC_001143.9	232227	233891	+	1665	147	1834
YKL108W	NC_001143.9	234426	235787	+	1362	110	744
YKL107W	NC_001143.9	236141	237070	+	930	11	198
YKL106C-A	NC_001143.9	237147	237266	-	120	0	10
YKL106W	NC_001143.9	237536	238891	+	1356	1907	7193
YKL105C	NC_001143.9	239185	242583	-	3399	206	966
YKL104C	NC_001143.9	243220	245373	-	2154	2442	11490
YKL104W-A	NC_001143.9	245032	245286	+	255	531	2432
YKL103C	NC_001143.9	246138	247682	-	1545	585	3323
YKL102C	NC_001143.9	248062	248367	-	306	4	194
YKL101W	NC_001143.9	248920	253476	+	4557	1311	7858
YKL100C	NC_001143.9	253697	255460	-	1764	555	4048
YKL099C	NC_001143.9	255720	256472	-	753	1086	5799
YKL098W	NC_001143.9	256770	257843	+	1074	150	2011
YKL097C	NC_001143.9	258503	258913	-	411	3	22
YKL096C-B	NC_001143.9	259073	259222	-	150	26	552
YKL096W-A	NC_001143.9	259253	259531	+	279	2808	40726
YKL096W	NC_001143.9	261132	261851	+	720	114	915
YKL095W	NC_001143.9	262277	263113	+	837	64	642
YKL094W	NC_001143.9	263349	264290	+	942	1924	7735
YKL093W	NC_001143.9	264789	265808	+	1020	209	1889
YKL092C	NC_001143.9	266145	269459	-	3315	758	1895
YKL091C	NC_001143.9	269718	270650	-	933	234	899
YKL090W	NC_001143.9	271878	273209	+	1332	421	1546
YKL089W	NC_001143.9	273394	275043	+	1650	463	1308
YKL088W	NC_001143.9	275283	276998	+	1716	662	3257
YKL087C	NC_001143.9	277189	277863	-	675	134	615
YKL086W	NC_001143.9	278281	278664	+	384	4	96
YKL085W	NC_001143.9	279123	280127	+	1005	2462	11476
YKL084W	NC_001143.9	280509	280859	+	351	32	128
YKL082C	NC_001143.9	281025	282329	-	1305	857	5366
YKL081W	NC_001143.9;NC_001143.9	282891;283422	283095;284455	+;+	1239	7518	14064
YNCK0009W	NC_001143.9	283185	283279	+	95	9632	8359
YKL080W	NC_001143.9	285030	286208	+	1179	5191	12014
YKL079W	NC_001143.9	286603	288573	+	1971	1215	4221
YKL078W	NC_001143.9	288845	291052	+	2208	636	3616
YKL077W	NC_001143.9	291453	292631	+	1179	1232	7281
YKL075C	NC_001143.9	292956	294308	-	1353	699	3106
YKL074C	NC_001143.9	294610	296193	-	1584	659	2439
YKL073W	NC_001143.9	296430	299075	+	2646	2376	5883
YKL072W	NC_001143.9	299582	301882	+	2301	405	1736
YNCK0010W	NC_001143.9;NC_001143.9	302918;302988	302953;303023	+;+	72	2875	3820
YKL071W	NC_001143.9	305114	305884	+	771	144	1012
YKL070W	NC_001143.9	306211	306720	+	510	105	721
YKL069W	NC_001143.9	307285	307827	+	543	514	2074
YNCK0011C	NC_001143.9	308144	308217	-	74	709	352
YKL068W-A	NC_001143.9	309206	309442	+	237	15	439
YKL068W	NC_001143.9	310199	313078	+	2880	1041	7783
YNCK0012C	NC_001143.9	313401	313472	-	72	3497	13583
YKL067W	NC_001143.9	314812	315273	+	462	1712	3009
YKL065W-A	NC_001143.9	315954	316175	+	222	10	112
YKL065C	NC_001143.9	316437	317057	-	621	720	3722
YKL064W	NC_001143.9	317764	320673	+	2910	574	5375
YKL063C	NC_001143.9	321015	321518	-	504	80	481
YKL062W	NC_001143.9	323228	325120	+	1893	121	3339
YKL061W	NC_001143.9	325771	326112	+	342	38	207
YKL060C	NC_001143.9	326408	327487	-	1080	71434	247706
YKL059C	NC_001143.9	328118	329443	-	1326	275	1931
YKL058W	NC_001143.9	330166	330534	+	369	1994	3838
YKL057C	NC_001143.9	330856	333969	-	3114	1002	2763
YKL056C	NC_001143.9	334412	334915	-	504	70902	161105
YKL055C	NC_001143.9	335321	336157	-	837	231	1193
YKL054C	NC_001143.9	336537	338753	-	2217	1572	9616
YKL053C-A	NC_001143.9	339182	339442	-	261	878	1627
YKL052C	NC_001143.9	339668	340546	-	879	671	5770
YKL051W	NC_001143.9	341312	342373	+	1062	442	2942
YKL050C	NC_001143.9	342852	345620	-	2769	316	2168
YKL049C	NC_001143.9	346075	346764	-	690	227	1293
YKL048C	NC_001143.9	347214	349136	-	1923	396	1304
YKL047W	NC_001143.9	349463	351013	+	1551	510	1449
YKL046C	NC_001143.9	351275	352624	-	1350	4923	10636
YKL045W	NC_001143.9	353493	355079	+	1587	1155	5501
YKL044W	NC_001143.9	356322	356642	+	321	7	67
YKL043W	NC_001143.9	356748	357848	+	1101	139	377
YKL042W	NC_001143.9	358475	359566	+	1092	91	517
YKL041W	NC_001143.9	360143	360817	+	675	384	2513
YKL040C	NC_001143.9	361058	361828	-	771	752	4748
YKL039W	NC_001143.9	362622	364193	+	1572	1546	4836
YNCK0013W	NC_001143.9	364776	364876	+	101	2401	15310
YKL038W	NC_001143.9	365605	369117	+	3513	807	2591
YKL037W	NC_001143.9	369365	369721	+	357	40	292
YKL035W	NC_001143.9	369891	371390	+	1500	3578	6630
YKL034W	NC_001143.9	371829	374105	+	2277	137	620
YKL033W-A	NC_001143.9	374505	375215	+	711	3438	4839
YKL033W	NC_001143.9	375456	378572	+	3117	793	2841
YNCK0014W	NC_001143.9	379680	379753	+	74	567	326
YKL032C	NC_001143.9	380065	381858	-	1794	165	752
YKL029C	NC_001143.9	382716	384725	-	2010	1406	23891
YKL028W	NC_001143.9	385758	387206	+	1449	1068	4490
YKL027W	NC_001143.9	387562	388905	+	1344	494	1527
YKL026C	NC_001143.9	389380	389883	-	504	26	469
YKL025C	NC_001143.9	390240	392279	-	2040	294	1223
YKL024C	NC_001143.9	392526	393140	-	615	1003	2622
YKL023C-A	NC_001143.9	393146	393373	-	228	385	972
YKL023W	NC_001143.9	393721	394554	+	834	142	1043
YKL022C	NC_001143.9	394726	397248	-	2523	782	3859
YKL021C	NC_001143.9	397344	398750	-	1407	1757	5100
YKL020C	NC_001143.9	398832	402080	-	3249	357	1978
YKL019W	NC_001143.9	402568	403518	+	951	908	3843
YKL018C-A	NC_001143.9	403580	403879	-	300	214	1241
YKL018W	NC_001143.9	404102	405091	+	990	100	681
YKL017C	NC_001143.9	405190	407241	-	2052	279	2662
YKL016C	NC_001143.9	407465	407989	-	525	419	6923
YKL015W	NC_001143.9	408544	411483	+	2940	1251	3789
YKL014C	NC_001143.9	411619	416913	-	5295	2352	9489
YKL013C	NC_001143.9	417508	418023	-	516	916	4014
YKL012W	NC_001143.9	418310	420061	+	1752	576	2662
YKL011C	NC_001143.9	420155	421216	-	1062	170	449
YKL010C	NC_001143.9	421424	425875	-	4452	1283	5936
YKL009W	NC_001143.9	426242	426952	+	711	2630	14156
YKL008C	NC_001143.9	427295	428551	-	1257	1335	5297
YKL007W	NC_001143.9	429302	430108	+	807	1112	4096
YKL006C-A	NC_001143.9;NC_001143.9	430198;430597	430455;430632	-;-	294	702	1976
YNCK0015C	NC_001143.9	431030	431138	-	109	38574	44252
YKL006W	NC_001143.9;NC_001143.9	431906;432433	432034;432720	+;+	417	10358	41027
YKL005C	NC_001143.9	433093	434877	-	1785	216	2197
YKL004W	NC_001143.9	435580	436785	+	1206	761	4356
YKL003C	NC_001143.9	437097	437492	-	396	93	371
YKL002W	NC_001143.9;NC_001143.9	437778;437906	437837;438544	+;+	699	1253	3736
YKL001C	NC_001143.9	438777	439385	-	609	561	790
YKR001C	NC_001143.9	440608	442722	-	2115	4025	8162
YKR002W	NC_001143.9	443232	444938	+	1707	609	2307
